discharge,accumalted current ,SOC,,,charge ,accumalted current,SOC,,,,,,
-226.8,-90461.6,4.491510297,,,240.3,,,,,,,,
-220,-90681.6,4.50243352,,,238.8,,,,,,,,
-258.5,-90940.1,4.515268308,,,237,,,,,,,,
-329.6,-91269.7,4.531633283,,,263.9,,,,,,,,
-188.9,-91458.6,4.541012359,,,267.7,,,,,,,,
-331.4,-91790,4.557466706,,,235.4,,,,,,,,
-342.2,-92132.2,4.574457283,,,248.5,,,,,,,,
-195.9,-92328.1,4.584183917,,,262.9,,,,,,,,
-324,-92652.1,4.600270846,,,262,,,,,,,,
-221.6,-92873.7,4.611273511,,,258.9,,,,,,,,
-264.6,-93138.3,4.62441117,,,261.1,,,,,,,,
-320.9,-93459.2,4.640344181,,,259.7,,,,,,,,
-197.8,-93657,4.650165152,,,229.9,,,,,,,,
-241.7,-93898.7,4.662165802,,,259.5,,,,,,,,
-205.5,-94104.2,4.672369086,,,234.3,,,,,,,,
-233.4,-94337.6,4.683957633,,,258.1,,,,,,,,
-193.1,-94530.7,4.693545244,,,256.1,,,,,,,,
-261.9,-94792.6,4.706548845,,,256.5,,,,,,,,
-188.3,-94980.9,4.715898131,,,256.1,,,,,,,,
-267.9,-95248.8,4.729199638,,,257.1,,,,,,,,
-189.4,-95438.2,4.73860354,,,236.1,,,,,,,,
-205.5,-95643.7,4.748806824,,,253,,,,,,,,
-245,-95888.7,4.760971323,,,253.3,,,,,,,,
-203.9,-96092.6,4.771095165,,,253,,,,,,,,
-189,-96281.6,4.780479207,,,252.1,,,,,,,,
-256.4,-96538,4.793209727,,,251.8,,,,,,,,
-206.5,-96744.5,4.803462662,,,250.6,,,,,,,,
-312.6,-97057.1,4.818983569,,,250.4,,,,,,,,
-259,-97316.1,4.831843182,,,249.9,,,,,,,,
-277.2,-97593.3,4.845606444,,,249.2,,,,,,,,
-266.2,-97859.5,4.858823544,,,247.8,,,,,,,,
-262,-98121.5,4.87183211,,,246.2,,,,,,,,
-202.7,-98324.2,4.881896371,,,245.7,,,,,,,,
-223.1,-98547.3,4.892973512,,,245.3,,,,,,,,
-248.5,-98795.8,4.90531179,,,244.4,,,,,,,,
-257.6,-99053.4,4.918101891,,,245,,,,,,,,
-238.8,-99292.2,4.929958554,,,273.6,,,,,,,,
-277.4,-99569.6,4.943731745,,,272.2,,,,,,,,
-332.3,-99901.9,4.960230778,,,242.9,,,,,,,,
-230.6,-100132.5,4.971680302,,,270.2,,,,,,,,
-276.4,-100408.9,4.985403843,,,272.1,,,,,,,,
-245.5,-100654.4,4.997593167,,,253,,,,,,,,
-229.4,-100883.8,5.00898311,,,238.6,,,,,,,,
-268.8,-101152.6,5.022329303,,,240.3,,,,,,,,
-259.5,-101412.1,5.035213741,,,260.3,,,,,,,,
-259.6,-101671.7,5.048103145,,,268.8,,,,,,,,
-260.7,-101932.4,5.061047165,,,239.6,,,,,,,,
-329.9,-102262.3,5.077427035,,,236.7,,,,,,,,
-229.7,-102492,5.088831873,,,268.2,,,,,,,,
-276.8,-102768.8,5.102575274,,,234.5,,,,,,,,
-228.4,-102997.2,5.113915566,,,259.9,,,,,,,,
-187.9,-103185.1,5.123244992,,,235,,,,,,,,
-260.9,-103446,5.136198942,,,233.7,,,,,,,,
-265.9,-103711.9,5.149401147,,,264.4,,,,,,,,
-329.3,-104041.2,5.165751226,,,231.4,,,,,,,,
